player,country,start,end,matches,bat_innings,bowl_innings,field_innings,not_outs,runs,high_score,high_score_not_out,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes,overs,maidens,wickets,economy,best_bowling_innings,four_wickets,five_wickets,ten_wickets,dismissals,caught,caught_fielder,caught_behind,stumped,max_dismissals_innings
Sadeeq Khan,ROM,2019,2019,3,3,3,3,1,127,28,FALSE,31.75,42,94.19047619047619,0,0,0,3,6,12,0,2,5.25,1/21,0,0,0,1,1,1,0,0,1
Sadiq Mohammad,Pakistan,1969,1981,19,76,13,93,2,2729,166,FALSE,Inf,0,Inf,5,10,6,0,0,0,0,2,3.522631578947369,2/20,0,0,0,33,33,33,0,0,4
Saeed Ahmed,Pakistan,1958,2024,50,84,47,79,4,4014,172,FALSE,28.42669942669943,55,74.93181818181819,5,16,3,4,2,17,0,28,6.15632798573975,4/64,0,0,0,18,18,18,0,0,4
Saeed Ajmal,Pakistan,2008,2015,113,188,242,243,24,15425,50,TRUE,18.418241119781396,86,58.86930755457718,0,1,12,7,2,238.2,2,447,4.377461224765573,7/55,10,12,4,48,48,48,0,0,5
Saeed Anwar,Pakistan,1989,2003,247,104,17,343,2,4457,188,TRUE,Inf,0,Inf,11,25,8,0,0,0,0,6,3.8052685950413223,2/9,0,0,0,60,60,60,0,0,5
Saeed Azad,Pakistan,1995,1996,4,0,0,4,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,2,2,2,0,0,1
Saeed Waqar Ali,SVN,2024,2024,5,3,5,5,2,86,3,TRUE,9.25,10,31.5,0,0,0,0,0,13,1,6,6.230769230769231,2/15,0,0,0,2,2,2,0,0,1
Saeed-al-Saffar,United Arab Emirates,1996,1996,1,1,1,1,0,50,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,8.333333333333334,NA,0,0,0,1,1,1,0,0,1
Sagar Pun,NEP,2014,2018,1,9,8,10,0,221,20,FALSE,15.916666666666666,100,56.75,0,0,0,13,0,23.3,0,6,5.574468085106383,3/26,0,0,0,2,2,2,0,0,1
Saghar Manzoor,CRT,2024,2024,5,5,0,5,0,54,38,FALSE,10.8,47,114.8936170212766,0,0,2,6,3,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
Sahel Zadran,Aut,2021,2023,28,14,28,28,4,684,19,FALSE,17.62142857142857,58,55.20361247947455,0,0,4,2,2,78.4,1,21,8.046610169491524,5/13,0,1,0,9,9,9,0,0,2
