Player,Country,Start,End,Matches,Innings,Overs,Maidens,Runs,Wickets,Average,Economy,StrikeRate,BestBowlingInnings,FourWickets,FiveWickets,TenWickets
D Khanal,NEP,2022,2024,17,2,0,0,20,0,Inf,6.666666666666667,Inf,NA,0,0,0
D Klein,GER,2020,2023,23,23,88,0,536,28,19.142857142857142,6.090909090909091,18.857142857142858,3/31,0,0,0
D La Cock,Namibia,2022,2022,21,2,1,0,20,0,Inf,7.75,Inf,NA,0,0,0
D Lakshan,Sri Lanka,2021,2022,3,3,0,0,76,1,76,6.909090909090909,66,1/43,0,0,0
D Langford-Smith,Ireland,2006,2008,22,21,0,0,797,25,31.88,5.076433121019108,37.68,3/32,0,0,0
D Lloyd,England,1973,1980,17,3,0,0,20,1,Inf,2.875,Inf,1/3,0,0,0
D Long Martinez,ESP,2024,2024,2,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Madushanka,Sri Lanka,2022,2024,42,42,49,0,1687,60,Inf,6.812229239521896,Inf,5/80,1,1,0
D Maisuria,BOT,2019,2023,37,35,126,4,672,71,9.464788732394366,5.333333333333333,10.647887323943662,5/18,4,2,0
D Malinga,SWZ,2022,2022,3,2,6,0,56,5,11.2,9.333333333333334,7.2,4/28,1,0,0
D Manani,ROM,2019,2021,3,3,7,0,52,2,26,7.428571428571429,21,2/25,0,0,0
D Marks,MLT,2019,2023,6,6,21,0,166,1,166,7.904761904761905,126,1/26,0,0,0
D Marsic,CRT,2022,2024,9,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Matla,SVN,2024,2024,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Mauro,Arg,2023,2023,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Mejia,CRC,2019,2019,3,2,4,0,23,0,Inf,5.75,Inf,NA,0,0,0
D Mogan,MAS,2020,2021,3,3,12,0,116,1,116,9.666666666666666,72,1/31,0,0,0
D Mohammed,West Indies,2004,2008,12,15,0,0,903,23,37.44230769230769,3.8788572796552687,58.61153846153846,3/98,0,0,0
D Mongia,India,2001,2007,58,21,0,0,571,14,40.785714285714285,5.3531249999999995,45.714285714285715,3/31,0,0,0
D Muhumuza,UGA,2019,2022,32,18,42.4,1,289,14,20.642857142857142,6.7734375,18.285714285714285,5/13,0,1,0
D Mullen,GUE,2023,2024,10,10,31.5,1,223,9,24.77777777777778,7.005235602094241,21.22222222222222,3/26,0,0,0
D Murphy,Scotland,2013,2013,12,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Mutu,TKY,2022,2022,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Myers,Zimbabwe,2021,2024,25,5,6,0,108,1,Inf,8.166666666666666,Inf,1/13,0,0,0
D Nath,NEP,2022,2022,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Ndikubwimana,RWN,2021,2024,73,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Nikolov,BUL,2019,2024,30,11,19,0,180,5,36,9.473684210526315,22.8,2/23,0,0,0
D Olivier,South Africa,2017,2024,18,31,0,0,1556,62,32.80225988700565,5.137503444475062,38.42372881355932,6/37,0,3,1
D Padikkal,India,2021,2024,4,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Parashar,United Arab Emirates,2023,2024,10,9,17,1,160,16,12.345454545454546,3.4237132352941178,23.836363636363636,4/12,1,0,0
D Paterson,South Africa,2017,2024,17,21,29.5,0,918,25,40.00925925925926,5.994638779879512,49.351851851851855,4/32,1,0,0
D Polpitiya,SWZ,2022,2022,6,5,14,0,112,4,28,8,21,3/15,0,0,0
D Pretorius,South Africa,2002,2022,64,67,84,0,2325,83,38.65238095238095,5.232203322992797,52.66428571428571,5/17,1,1,0
D Ramdin,West Indies,2005,2019,284,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Ramnarine,West Indies,1997,2002,16,26,0,0,1547,48,42.7,3.6471244635193134,72.16666666666667,5/78,0,1,0
D Ranatunga,Sri Lanka,1989,1990,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Ravu,Papau New Guinea,2017,2022,42,40,67.1,0,1056,39,43.649193548387096,6.245496737432221,47,5/15,1,1,0
D Rawat,CRC,2024,2024,5,5,15,1,85,7,12.142857142857142,5.666666666666667,12.857142857142858,3/26,0,0,0
D Robeson,GIBR,2021,2021,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Robson,EST,2023,2024,13,13,51.5,0,314,13,24.153846153846153,6.057877813504823,23.923076923076923,2/18,0,0,0
D Sabir,BER,2021,2023,14,5,18,0,113,7,16.142857142857142,6.277777777777778,15.428571428571429,2/22,0,0,0
D Samarawickrama,ITA,2022,2022,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0
D Shackleton,England,1950,1963,7,13,0,0,768,18,42.666666666666664,2.2175168431183834,115.44444444444444,4/72,0,0,0
D Sheeli,KUW,2019,2023,7,0,0,0,0,0,NA,NA,NA,NA,0,0,0
