Player,Country,Start,End,Matches,Innings,Dismissals,Caught,CaughtFielder,CaughtBehind,Stumped,MaxDismissalsInnings
Gc Martin,Zimbabwe,1994,1995,5,5,0,0,0,0,0,0
Gc Murtaza,CAM,2023,2024,24,23,6,6,6,0,0,1
Gc Shillingford,West Indies,1969,1972,7,12,2,2,2,0,0,2
Gc Small,England,1986,1992,70,85,16,16,16,0,0,2
Gc Smith,South Africa,2005,2011,33,33,18,18,18,0,0,2
Gc Smith (Afr/Sa),NA,2002,2013,197,196,105,105,105,0,0,4
Gc Smith (Icc/Sa),NA,2002,2014,117,225,169,169,169,0,0,5
Gc Tonge,West Indies,2009,2009,7,8,1,1,1,0,0,1
Gc Viljoen,South Africa,2016,2016,1,2,0,0,0,0,0,0
Gc White,South Africa,1906,1912,17,31,10,10,10,0,0,2
Gc Wilson,Ireland,2007,2020,188,184,136,119,35,84,17,4
Gd Arta,INA,2022,2024,35,35,6,6,6,0,0,1
Gd Barlow,England,1976,1977,9,12,4,4,4,0,0,2
Gd Campbell,Australia,1989,1990,16,20,5,5,5,0,0,1
Gd Drummond,Scotland,2007,2013,47,46,7,7,7,0,0,1
Gd Elliott,New Zealand,2008,2016,88,92,19,19,19,0,0,2
Gd Elliott (Nz/World),NA,2009,2017,17,17,4,4,4,0,0,2
Gd Lloyd,England,1996,1998,6,6,2,2,2,0,0,1
Gd Mcgrath,Australia,1993,2007,126,246,39,39,39,0,0,2
Gd Mcgrath (Aus/Icc),NA,1993,2007,250,248,37,37,37,0,0,3
Gd Mckenzie,Australia,1961,1971,61,114,35,35,35,0,0,2
Gd Phillips,New Zealand,2017,2024,125,133,77,75,68,7,2,4
Gd Porter,Australia,1979,1979,2,2,1,1,1,0,0,1
Gd Varnals,South Africa,1964,1965,3,4,0,0,0,0,0,0
Gd Watson,Australia,1966,1972,7,11,1,1,1,0,0,1
Gdr Eranga,Canada,2019,2019,9,9,2,2,2,0,0,1
Ge Bond,South Africa,1938,1938,1,2,0,0,0,0,0,0
Ge Bradburn,New Zealand,1990,2001,18,22,8,8,8,0,0,2
Ge Corling,Australia,1964,1964,5,8,0,0,0,0,0,0
Ge Gomez,West Indies,1939,1954,29,58,18,18,18,0,0,3
Ge Gutierrez Chavez,Mex,2024,2024,3,3,0,0,0,0,0,0
Ge Kidd,Ireland,2007,2010,7,6,1,1,1,0,0,1
Ge Mathurin,West Indies,2011,2012,3,3,1,1,1,0,0,1
Ge Ngegba,Sri LankaE,2022,2024,24,24,4,4,4,0,0,1
Ge Palmer,Australia,1880,1886,17,30,13,13,13,0,0,2
Ge Peckover,Zimbabwe,1983,1983,3,3,0,0,0,0,0,0
Ge Tribe,Australia,1946,1947,3,6,0,0,0,0,0,0
Ge Tyldesley,England,1921,1929,14,25,2,2,2,0,0,1
Ge Vivian,New Zealand,1965,1973,6,11,3,3,3,0,0,1
Gec Wood,England,1924,1924,3,6,6,5,0,5,1,2
Gef Barnett,Canada,2006,2010,27,27,9,9,9,0,0,1
Gershon Yusuf,NGA,2019,2019,1,1,1,1,1,0,0,1
Gf Bissett,South Africa,1927,1928,4,8,0,0,0,0,0,0
Gf Cresswell,New Zealand,1949,1951,3,4,0,0,0,0,0,0
Gf Gomes,MOZ,2019,2022,15,14,1,1,1,0,0,1
Gf Grace,England,1880,1880,1,2,2,2,2,0,0,2
Gf Labrooy,Sri Lanka,1986,1992,53,59,11,11,11,0,0,1
Gf Lawson,Australia,1980,1989,125,160,28,28,28,0,0,2
Gf Linde,South Africa,2019,2021,19,21,9,9,9,0,0,3
Gf Rorke,Australia,1959,1959,4,8,1,1,1,0,0,1
Gf Vernon,England,1882,1883,1,2,0,0,0,0,0,0
Gfj Liebenberg,South Africa,1995,1998,9,14,1,1,1,0,0,1
Gg Alta,TKY,2022,2024,8,8,1,1,1,0,0,1
Gg Arnold,England,1967,1975,48,74,11,11,11,0,0,2
Gg Banner,Blz,2019,2021,9,9,5,5,5,0,0,2
Gg Hall,South Africa,1965,1965,1,2,0,0,0,0,0,0
Gg Hearne,England,1892,1892,1,2,0,0,0,0,0,0
Gg Macaulay,England,1923,1933,8,14,5,5,5,0,0,1
Gh Bodi,South Africa,2007,2007,3,3,1,1,1,0,0,1
Gh Dockrell,Ireland,2010,2024,270,264,112,112,112,0,0,3
Gh Hirst,England,1897,1909,24,44,18,18,18,0,0,2
Gh Mudie,West Indies,1935,1935,1,2,0,0,0,0,0,0
Gh O'brien,BER,2006,2019,20,20,3,3,3,0,0,1
Gh Pope,England,1947,1947,1,2,0,0,0,0,0,0
Gh Shepstone,South Africa,1896,1899,2,3,2,2,2,0,0,2
Gh Smit,GUE,2023,2023,3,3,0,0,0,0,0,0
Gh Vihari,India,2018,2022,16,32,4,4,4,0,0,1
Gh Worker,New Zealand,2015,2018,12,12,6,6,6,0,0,3
Ghg Doggart,England,1950,1950,2,4,3,3,3,0,0,1
Gholam Nousher,BAN,1986,1990,9,9,0,0,0,0,0,0
Ghs Garton,England,2022,2022,1,1,0,0,0,0,0,0
Ghs Trott,Australia,1888,1898,24,44,21,21,21,0,0,2
Ght Simpson-Hayward,England,1910,1910,5,10,1,1,1,0,0,1
Ghulam Abbas,Pakistan,1967,1967,1,2,0,0,0,0,0,0
Ghulam Abbas Butt,FIN,2024,2024,8,8,2,2,2,0,0,1
Ghulam Ahmadi,GER,2021,2024,44,44,11,11,11,0,0,2
Ghulam Ahmed,India,1948,1959,22,37,11,11,11,0,0,1
Ghulam Ali,Pakistan,1993,1995,3,3,0,0,0,0,0,0
Ghulam Shabber,United Arab Emirates,2016,2019,40,40,47,44,0,44,3,4
Gi Allott,New Zealand,1996,2000,41,47,7,7,7,0,0,1
Gi Hume,Ireland,2022,2024,28,30,3,3,3,0,0,1
Gi Maiden,Scotland,2008,2011,10,10,6,6,1,5,0,3
Gj Agius,MLT,2019,2019,2,2,1,1,1,0,0,1
Gj Bailey,Australia,2012,2016,95,100,58,58,58,0,0,3
Gj Bailey (Aus/World),NA,2012,2017,30,30,10,10,10,0,0,2
Gj Batty,England,2002,2016,20,27,7,7,7,0,0,2
Gj Bonnor,Australia,1880,1888,17,29,16,16,16,0,0,3
Gj Cosier,Australia,1975,1979,27,42,18,18,18,0,0,2
Gj Crocker,Zimbabwe,1992,1993,9,11,1,1,1,0,0,1
Gj Delany,Ireland,2019,2024,96,96,35,35,35,0,0,2
Gj Gilmour,Australia,1973,1977,20,34,10,10,10,0,0,2
Gj Hopkins,New Zealand,2004,2010,39,39,43,40,2,38,3,5
Gj Joseph,Blz,2019,2019,1,1,0,0,0,0,0,0
